id,nombre_artistico,genero_principal
1,dorothy94_art,Hip-Hop
4,michellerivera_art,Rock
12,dustin94_art,Electronic
13,rodriguezmelissa_art,Hip-Hop
15,wilsonjerry_art,Pop
16,josephfarmer_art,Jazz
17,robertsshawn_art,Jazz
18,fhorn_art,Rock
19,jenniferjohnson_art,Pop
21,kelly50_art,Electronic
24,markhunter_art,Jazz
25,elizabethblack_art,Rock
30,cunninghamveronica_art,Hip-Hop
32,ibrown_art,Electronic
34,larsondavid_art,Jazz
37,amandacruz_art,Hip-Hop
40,wadescott_art,Hip-Hop
41,brittany97_art,Rock
43,deborahbooker_art,Hip-Hop
49,mgomez_art,Electronic
51,jtownsend_art,Hip-Hop
56,edavis_art,Jazz
58,wgreen_art,Electronic
59,ronald67_art,Electronic
62,ryan25_art,Rock
64,pwalton_art,Rock
66,david05_art,Rock
67,dthomas_art,Pop
68,michelerichards_art,Pop
69,brenda50_art,Rock
70,christopherramos_art,Hip-Hop
73,emilybird_art,Hip-Hop
74,jfreeman_art,Electronic
75,ramosdana_art,Hip-Hop
78,cameron09_art,Hip-Hop
80,ksmith_art,Jazz
81,leejohnson_art,Electronic
83,maryorozco_art,Rock
90,ahall_art,Rock
93,camachodanny_art,Hip-Hop
94,danielfranklin_art,Rock
96,cunninghambarbara_art,Rock
97,choiamber_art,Hip-Hop
100,tonya47_art,Hip-Hop
102,jeremy47_art,Rock
103,crodriguez_art,Jazz
105,heather72_art,Electronic
106,ogonzalez_art,Jazz
107,april66_art,Hip-Hop
110,elizabethsmith_art,Electronic
112,daltonhart_art,Jazz
113,gomezdebra_art,Pop
114,apeters_art,Jazz
115,blackwellmary_art,Rock
116,masonjennifer_art,Rock
118,christina62_art,Rock
120,glennjessica_art,Hip-Hop
126,joseph82_art,Rock
131,hayley64_art,Electronic
134,collinssharon_art,Jazz
135,wbender_art,Jazz
137,leslielucas_art,Hip-Hop
138,olsenmary_art,Electronic
139,bobbyfowler_art,Electronic
140,virginialloyd_art,Electronic
143,egarcia_art,Pop
144,pamela58_art,Rock
146,fordjasmine_art,Pop
151,millerteresa_art,Jazz
152,erica81_art,Hip-Hop
153,alicia40_art,Electronic
155,zimmermansarah_art,Rock
159,parkerashley_art,Pop
161,eric85_art,Pop
162,rodriguezjason_art,Rock
164,nhayes_art,Jazz
167,denniscarter_art,Rock
168,samanthamarshall_art,Jazz
170,james39_art,Electronic
172,gcasey_art,Electronic
174,hollymoore_art,Jazz
176,rmurphy_art,Jazz
178,williammccarthy_art,Electronic
179,melanie54_art,Hip-Hop
180,eugeneperez_art,Electronic
182,teresa12_art,Jazz
184,summerkemp_art,Hip-Hop
186,hendricksjacob_art,Electronic
187,ncrane_art,Pop
188,lisacarter_art,Rock
189,tranjeremy_art,Pop
190,danielselizabeth_art,Rock
192,dylanweiss_art,Pop
193,nsnyder_art,Hip-Hop
195,josephrichardson_art,Electronic
196,jessicagraham_art,Jazz
197,pamela69_art,Hip-Hop
199,jshaw_art,Pop
200,ashley71_art,Rock
202,obailey_art,Hip-Hop
204,tkramer_art,Hip-Hop
205,mark36_art,Pop
208,justinbray_art,Pop
209,dmartin_art,Electronic
210,paul26_art,Jazz
213,kathryn01_art,Pop
214,brendaford_art,Jazz
215,khill_art,Hip-Hop
216,alicia89_art,Electronic
217,ahaley_art,Hip-Hop
219,davidlogan_art,Hip-Hop
221,christopherfisher_art,Hip-Hop
222,ytaylor_art,Hip-Hop
223,chelseabyrd_art,Electronic
227,nicolewallace_art,Rock
228,ruben11_art,Rock
233,lisa72_art,Jazz
234,damonpeterson_art,Jazz
235,cohenandrea_art,Rock
238,andersonaaron_art,Jazz
240,kjohnson_art,Jazz
241,pphillips_art,Pop
243,andreaharrell_art,Pop
248,jacquelinecarlson_art,Rock
249,andersongary_art,Hip-Hop
250,jillian43_art,Electronic
254,amcgee_art,Pop
259,kelseywillis_art,Rock
260,pwilson_art,Rock
263,deborah45_art,Electronic
264,sdavis_art,Rock
265,laurie37_art,Electronic
268,cmiddleton_art,Pop
274,christopher94_art,Electronic
275,jason35_art,Jazz
276,sandersamanda_art,Hip-Hop
278,iwilson_art,Pop
280,bgriffin_art,Pop
283,dkelly_art,Pop
284,tthomas_art,Hip-Hop
285,williamsangelica_art,Hip-Hop
287,glenn84_art,Electronic
288,jacob83_art,Electronic
293,duartecharles_art,Jazz
295,josephchan_art,Electronic
296,vincent72_art,Electronic
297,jacqueline17_art,Jazz
298,mmcdaniel_art,Jazz
302,rangelmichelle_art,Electronic
304,tyoung_art,Jazz
305,qbell_art,Pop
312,ifletcher_art,Rock
313,deniseflynn_art,Rock
324,katie76_art,Hip-Hop
325,tanya75_art,Hip-Hop
