id,user,post
1,1249,9706
2,608,343
3,280,5501
4,14831,5571
5,8511,17035
6,13055,14908
7,7373,18910
8,10883,5259
9,14973,17526
10,3983,19340
11,9934,4696
12,4280,7543
13,7866,1708
14,9812,13343
15,4409,10034
16,3068,13572
17,7418,12982
18,18802,9684
19,11956,9960
20,334,17149
21,6324,2645
22,13150,5632
23,1198,8938
24,10548,8029
25,10774,3882
26,15680,7213
27,14238,19274
28,8559,4932
29,19316,6119
30,17950,4221
31,10427,19135
32,11515,9279
33,16893,18697
34,19784,558
35,19548,19708
36,17602,17535
37,19660,16863
38,19915,8319
39,17201,11695
40,16961,11350
41,931,18950
42,9476,1409
43,1181,536
44,11091,941
45,15103,10582
46,11221,6256
47,10866,4314
48,9643,7470
49,12333,10925
50,16853,5669
51,17920,14057
52,96,2263
53,11348,8045
54,17857,2688
55,12788,5879
56,1838,16993
57,6683,13142
58,11525,16
59,16488,11581
60,6893,7623
61,180,8873
62,11740,18087
63,18878,9912
64,13125,8373
65,10112,8699
66,1822,729
67,9180,11111
68,3840,12879
69,19698,5268
70,3323,7478
71,15701,14570
72,7210,17354
73,7148,17904
74,5480,4915
75,7387,8874
76,2683,3965
77,6947,3374
78,12707,3646
79,7782,4610
80,5712,4677
81,3900,11735
82,7785,7020
83,9994,19424
84,14481,16430
85,12170,2563
86,9345,7480
87,5919,16104
88,1424,5445
89,13165,1136
90,7085,19012
91,4963,18581
92,3035,16445
93,5648,15978
94,15287,5207
95,4648,5540
96,4586,4598
97,3090,3987
98,8894,17071
99,16756,10103
100,6631,11687
101,729,13996
102,15741,4237
103,8163,1205
104,6074,5703
105,3788,2064
106,6535,1687
107,19862,9637
108,19579,2563
109,6012,3659
110,16955,11704
111,17366,1259
112,259,15690
113,5363,3089
114,946,6203
115,7177,14663
116,19621,14011
117,12567,3658
118,7713,3360
119,12546,4
120,495,18736
121,19435,14976
122,4795,16016
123,1879,18196
124,18416,1757
125,9941,10270
126,7080,14935
127,1826,11437
128,14652,5928
129,11271,6111
130,16177,9752
131,86,116
132,13990,15861
133,18807,9304
134,12488,4269
135,5501,9671
136,15828,13786
137,6323,6007
138,17627,13173
139,10761,15494
140,13898,11877
141,13799,16634
142,13620,15849
143,5936,306
144,411,19928
145,12024,19416
146,3948,10543
147,14085,12806
148,5107,17745
149,10356,19321
150,19297,2522
151,1645,18261
152,6015,4686
153,16211,10804
154,11123,16767
155,5938,17273
156,4870,15846
157,11634,1457
158,13448,10643
159,3240,19232
160,893,11355
161,3271,6319
162,8679,13121
163,17751,14586
164,9544,17628
165,2341,18354
166,4305,8457
167,19755,4317
168,5323,14521
169,14444,8046
170,464,7449
171,13587,1166
172,13164,13757
173,8624,2888
174,14224,3563
175,4404,16478
176,14386,8359
177,1251,19173
178,18164,12260
179,19426,15334
180,1363,5475
181,481,19234
182,10076,15882
183,19860,15139
184,17112,1871
185,5461,4754
186,18885,6141
187,5833,18683
188,7978,18576
189,171,3039
190,18756,14235
191,4894,19112
192,12474,12848
193,17515,12681
194,6461,10509
195,19485,9652
196,11740,6218
197,16467,18250
198,18875,14442
199,12302,2261
200,1721,14674
201,14210,16630
202,6797,987
203,6603,1128
204,13800,7549
205,12462,17127
206,6711,7027
207,17441,3732
208,15901,3099
209,6222,2167
210,9778,6039
211,9760,3599
212,19296,19425
213,14208,9530
214,19620,2053
215,19007,13986
216,189,887
217,379,997
218,12430,19769
219,17243,16828
220,14140,7906
221,11036,12218
222,16187,5896
223,3564,15830
224,4237,14628
225,17250,8800
226,304,14764
227,19296,7660
228,9816,15021
229,11273,11657
230,4663,8687
231,9031,1607
232,4880,5613
233,8716,41
234,15143,6959
235,4728,14454
236,7186,1278
237,7568,18754
238,1588,8731
239,4579,15848
240,725,18448
241,9780,2290
242,9159,1522
243,14490,691
244,17554,10649
245,16848,2591
246,15165,8272
247,8517,5986
248,8863,19781
249,6985,10660
250,14346,2169
251,15287,15055
252,13270,18642
253,16444,6241
254,566,16286
255,15918,4426
256,12028,7907
257,11581,2977
258,6231,634
259,9930,17047
260,2794,2421
261,904,3595
262,17904,1519
263,15358,14217
264,17393,700
265,12350,16496
266,10342,11093
267,13216,19400
268,6939,8321
269,12586,11470
270,15437,4051
271,19972,1348
272,2959,2891
273,5688,19631
274,7076,4079
275,262,9559
276,10332,4035
277,15114,4260
278,11525,3297
279,647,16009
280,10665,2760
281,8005,13955
282,101,4506
283,8097,664
284,7082,12180
285,18162,11133
286,5847,12853
287,16994,5811
288,2465,14522
289,1730,2957
290,440,1595
291,8727,13273
292,11374,16202
293,19128,4831
294,13798,11299
295,2638,6573
296,18334,182
297,16785,50
298,11438,1360
299,1724,9563
300,8754,14672
301,12318,18668
302,7211,6171
303,158,2310
304,16897,9852
305,5606,14956
306,2488,12287
307,6735,3800
308,17585,6011
309,19951,2944
310,13524,7512
311,18577,10479
312,11119,14375
313,16288,2423
314,7358,17873
315,14593,8103
316,11119,17568
317,19753,6754
318,12266,14247
319,15658,13265
320,5156,18764
321,4996,14903
322,6807,12881
323,6407,2520
324,13617,15650
325,12906,15379
326,13966,12484
327,2996,6453
328,1297,5182
329,10417,1884
330,1250,13600
331,10206,9824
332,8364,4332
333,14221,2048
334,7759,18259
335,18165,10105
336,5578,16426
337,1948,14230
338,18983,7623
339,5794,18319
340,720,9882
341,6402,7835
342,1493,18767
343,10449,1290
344,9704,18724
345,7229,12495
346,15844,16994
347,8925,19741
348,7208,17364
349,1142,6811
350,19026,14397
351,8849,5746
352,5224,11868
353,3724,14277
354,14485,5587
355,7857,16757
356,17189,2591
357,9398,7648
358,931,9861
359,8157,18378
360,17409,8793
361,16612,3656
362,898,15360
363,3467,16882
364,11204,15997
365,2426,7101
366,1048,488
367,9865,13669
368,6127,4143
369,1398,15164
370,17723,5990
371,1090,18831
372,7611,17828
373,3729,12975
374,12959,6707
375,14324,3953
376,10473,7717
377,12443,9104
378,11615,16681
379,16704,7702
380,9058,19135
381,12248,17109
382,15930,3535
383,14797,14952
384,1156,5470
385,19815,14014
386,6598,8014
387,8547,17990
388,1367,9876
389,19822,13773
390,11354,11747
391,7265,15934
392,1653,2185
393,19526,13066
394,15460,16340
395,7861,7063
396,6063,13135
397,2509,6677
398,3852,4405
399,1017,15391
400,17743,19843
401,5990,2707
402,4025,1339
403,970,1823
404,2600,2623
405,10961,11160
406,1048,8797
407,12608,10471
408,156,1317
409,11290,15692
410,18791,6353
411,19897,7321
412,14435,12182
413,7812,15733
414,8313,18563
415,3365,19972
416,575,3272
417,17523,7438
418,5897,8353
419,10103,17189
420,13153,10864
421,13690,15161
422,130,712
423,5405,15182
424,19532,12221
425,9227,73
426,11960,12745
427,2354,9752
428,3763,17073
429,18703,3261
430,11778,2416
431,17620,5578
432,16155,16064
433,11210,17498
434,5017,11121
435,12462,18797
436,15780,4141
437,7136,10104
438,10520,11695
439,19291,18663
440,11150,10319
441,10846,12175
442,3288,10807
443,1177,8892
444,6522,7751
445,4071,1975
446,7379,8801
447,10818,7997
448,17079,9547
449,9496,4354
450,19465,9628
451,18895,9288
452,11943,2962
453,5434,5929
454,8582,17974
455,10414,3070
456,13798,5171
457,3458,12578
458,16822,14063
459,16384,11479
460,914,16586
461,18026,6440
462,8996,2753
463,16284,5272
464,3391,4977
465,13270,19438
466,16360,2985
467,9682,9467
468,7604,1198
469,10258,10649
470,17648,12995
471,8653,13586
472,47,6144
473,2136,17487
474,18316,8080
475,1059,15277
476,2346,6403
477,18864,2520
478,13104,14488
479,16972,7607
480,57,18895
481,13489,9660
482,6370,4709
483,6374,12108
484,12370,13029
485,902,3130
486,2180,12571
487,8100,18347
488,1417,18391
489,15721,236
490,19762,4992
491,9742,19996
492,7296,6611
493,14992,227
494,19244,15534
495,6767,17937
496,491,14952
497,9230,16694
498,7269,17428
499,12823,14130
500,18182,6377
501,2590,13960
502,15033,18064
503,13399,7699
504,18626,10152
505,1823,2740
506,19367,3427
507,13085,262
508,10296,14145
509,3170,15090
510,19947,11466
511,13583,14879
512,6652,11142
513,13495,14456
514,9692,13960
515,1539,13790
516,2806,262
517,3463,15035
518,18068,19508
519,16148,8389
520,16889,9038
521,14696,17089
522,8243,18777
523,17452,2941
524,6504,10113
525,9426,7839
526,14738,993
527,14137,1576
528,8274,16132
529,18027,10955
530,6069,10170
531,19154,14636
532,5935,18813
533,6336,3710
534,15993,184
535,15019,8333
536,3450,5113
537,12311,1476
538,11149,524
539,16852,3982
540,4827,18916
541,7389,4737
542,2013,5916
543,17600,3459
544,16000,17434
545,3037,10556
546,18273,4918
547,17078,9804
548,3890,69
549,8775,4962
550,14771,4788
