user_id,nombre_artistico,genero_principal
3,Cole Hodge,Reggae
4,Gabriel Jones,Metal
9,Lynn Edwards,Hip Hop
10,Mary Miles,Electronic
11,Thomas Foster,Electronic
13,Sean Young,Metal
14,Sara Combs,Jazz
16,Annette Lawrence,R&B
17,Laura Jacobs,Pop
19,Gregory Dunn,Rock
20,Shelley Leonard,Folk
21,Angela Knapp,Folk
22,Laura Murphy,Jazz
25,Margaret Chapman,Hip Hop
28,Andrea Waller,Hip Hop
31,Nicole Burns,Pop
32,Zachary Harding,Folk
38,Jason Hall,Pop
39,Crystal Wilson,Jazz
48,Ricardo Walker,Folk
49,Benjamin Taylor,Blues
50,Samantha Ryan,Metal
56,Laurie Kelley,Rock
57,Brian Young,Pop
58,Michael Carroll,Folk
65,Katie Joyce,Hip Hop
68,Erin Schaefer,Pop
71,Deborah Schultz,Pop
73,Tina Duncan,Jazz
74,Katie Miller,Classical
76,Kevin Coleman,Country
77,Willie Griffin,Rock
78,Cheryl Love,Electronic
86,Alexander Oliver,Jazz
91,Kathleen Hart,Classical
94,Tonya Franklin,Blues
99,Christopher Johnson,Blues
100,Alexis Matthews,R&B
104,Scott Lawson,Blues
110,Jessica Gill,Blues
120,Regina Perez,Metal
123,Michelle Summers,Hip Hop
126,Tiffany Jackson,Jazz
128,Sarah Johnson,Country
131,Christopher Ellis,Electronic
136,Ivan Conner,Reggae
139,Jacqueline Price,Hip Hop
147,Kevin Duncan,Blues
154,Steve Moore,Country
160,Steven Peters,Metal
167,Ronald Stephens,Electronic
176,Dustin Campbell,Pop
179,Paula Chung,Blues
181,Debra Ochoa,Blues
187,Robert Alvarez,Reggae
189,Anita Gibson,R&B
193,Gary Bell,Blues
194,Roy Miller,Reggae
198,Sharon Garcia,Pop
203,Michael Skinner,Pop
204,Joseph Ramirez,Pop
207,Carolyn Gomez,Pop
212,Joshua Miller,Electronic
220,Grant Jones,Rock
223,Rebecca Anderson,Blues
229,Julie Harris,Metal
236,David Dawson,Rock
238,William Mahoney,Hip Hop
241,Briana Morris,Rock
245,Jerry Hughes,Jazz
249,Michael Sanders,R&B
250,Amy Cantu,R&B
253,Russell Wang,Reggae
254,Amy Zhang,Country
259,Joseph Evans,Hip Hop
262,Chloe Foster,Folk
263,James Moss,Classical
265,Karla Williams,Classical
267,Ashley Sharp,Metal
269,Brenda Clark,Metal
271,David Taylor,Blues
274,Melissa Stout,Folk
279,Jeffrey Wiley,Country
282,Scott Davis,Classical
300,Larry Williams,Country
310,Charles Reynolds,Rock
312,Elizabeth Jones,Hip Hop
319,Karen Cochran,Reggae
322,Karina Hanson,Hip Hop
325,Michael Oliver,Electronic
329,Brittany Martinez,Classical
330,Jessica Waters,Folk
333,Leslie Gutierrez,Country
336,Allison Williams,Hip Hop
343,Russell Woodward,Pop
346,Brenda Burns,Folk
