Id,nombre_artistico,genero_principal
23762,Artista_00000,Folk
6379,Artista_00001,Rock
46,Artista_00002,Folk
23606,Artista_00003,Hip-Hop
9540,Artista_00004,Electronic
16701,Artista_00005,Electronic
24210,Artista_00006,Electronic
21563,Artista_00007,Electronic
23618,Artista_00008,Rock
24169,Artista_00009,Pop
10214,Artista_00010,Hip-Hop
13620,Artista_00011,Pop
4702,Artista_00012,Country
10083,Artista_00013,Latin
13694,Artista_00014,Electronic
5067,Artista_00015,Latin
3876,Artista_00016,Electronic
16678,Artista_00017,Jazz
12649,Artista_00018,Country
5190,Artista_00019,Rock
392,Artista_00020,Latin
522,Artista_00021,Country
4152,Artista_00022,Electronic
13043,Artista_00023,Electronic
16640,Artista_00024,Latin
17275,Artista_00025,Rock
11717,Artista_00026,Jazz
9341,Artista_00027,Jazz
20737,Artista_00028,Folk
13443,Artista_00029,Hip-Hop
12112,Artista_00030,Electronic
7454,Artista_00031,Latin
4997,Artista_00032,Country
1347,Artista_00033,Folk
5227,Artista_00034,Jazz
7541,Artista_00035,Latin
9526,Artista_00036,Jazz
3439,Artista_00037,Hip-Hop
1215,Artista_00038,Pop
8652,Artista_00039,Rock
21819,Artista_00040,Rock
19362,Artista_00041,Jazz
19761,Artista_00042,Hip-Hop
11720,Artista_00043,Jazz
3295,Artista_00044,Latin
8656,Artista_00045,Electronic
10421,Artista_00046,Electronic
16400,Artista_00047,Jazz
7198,Artista_00048,Rock
20881,Artista_00049,Hip-Hop
18545,Artista_00050,Rock
6551,Artista_00051,Rock
23644,Artista_00052,Jazz
16714,Artista_00053,Pop
18764,Artista_00054,Hip-Hop
1497,Artista_00055,Folk
606,Artista_00056,Rock
24437,Artista_00057,Electronic
18789,Artista_00058,Latin
8868,Artista_00059,Electronic
11686,Artista_00060,Latin
19013,Artista_00061,Pop
23068,Artista_00062,Hip-Hop
3009,Artista_00063,Pop
468,Artista_00064,Jazz
7022,Artista_00065,Country
21634,Artista_00066,Pop
16367,Artista_00067,Latin
13033,Artista_00068,Rock
16574,Artista_00069,Electronic
2857,Artista_00070,Electronic
20040,Artista_00071,Country
17501,Artista_00072,Folk
556,Artista_00073,Hip-Hop
22290,Artista_00074,Folk
11026,Artista_00075,Pop
15357,Artista_00076,Folk
24040,Artista_00077,Latin
21629,Artista_00078,Jazz
10712,Artista_00079,Latin
20286,Artista_00080,Hip-Hop
16358,Artista_00081,Rock
13969,Artista_00082,Pop
8148,Artista_00083,Folk
15836,Artista_00084,Hip-Hop
24489,Artista_00085,Electronic
22342,Artista_00086,Pop
8766,Artista_00087,Rock
14555,Artista_00088,Folk
12205,Artista_00089,Folk
14498,Artista_00090,Pop
7447,Artista_00091,Jazz
21835,Artista_00092,Pop
11461,Artista_00093,Electronic
4258,Artista_00094,Hip-Hop
9410,Artista_00095,Latin
3639,Artista_00096,Latin
13820,Artista_00097,Country
13922,Artista_00098,Folk
4377,Artista_00099,Latin
7728,Artista_00100,Latin
11839,Artista_00101,Latin
18678,Artista_00102,Pop
14468,Artista_00103,Pop
12327,Artista_00104,Electronic
12163,Artista_00105,Rock
7704,Artista_00106,Jazz
13960,Artista_00107,Rock
2364,Artista_00108,Folk
10993,Artista_00109,Rock
126,Artista_00110,Latin
11597,Artista_00111,Latin
359,Artista_00112,Country
20967,Artista_00113,Jazz
4772,Artista_00114,Electronic
22670,Artista_00115,Country
14603,Artista_00116,Pop
18128,Artista_00117,Jazz
24293,Artista_00118,Country
8823,Artista_00119,Country
196,Artista_00120,Pop
5020,Artista_00121,Folk
6071,Artista_00122,Electronic
7286,Artista_00123,Country
17533,Artista_00124,Rock
15429,Artista_00125,Jazz
24746,Artista_00126,Electronic
23947,Artista_00127,Rock
4033,Artista_00128,Pop
16243,Artista_00129,Rock
14112,Artista_00130,Electronic
15140,Artista_00131,Hip-Hop
11414,Artista_00132,Pop
7964,Artista_00133,Rock
6306,Artista_00134,Hip-Hop
1048,Artista_00135,Jazz
19401,Artista_00136,Electronic
2184,Artista_00137,Hip-Hop
11758,Artista_00138,Pop
7389,Artista_00139,Hip-Hop
23387,Artista_00140,Hip-Hop
