artista_id,song_id
9992,28370
6334,17864
13639,2112
5050,3965
10030,10375
11590,41617
9626,36787
2826,21183
6047,29220
21894,17601
23489,19038
10167,34551
21180,21681
18077,20608
11457,48276
2699,46683
4225,8521
17683,19823
8244,412
11427,11084
15545,43066
17069,5328
9085,6564
6983,42002
21409,49376
8468,48644
18753,27534
4520,4648
19446,49946
23133,23201
10166,5011
16537,45092
6972,3074
7809,9586
8622,9380
12137,9990
17114,38197
13223,37699
20567,9324
7803,31103
10746,43373
1953,49029
15008,944
16626,48451
7904,14441
4303,38106
7508,3542
9738,1034
24643,19595
24485,18638
1887,38475
10789,20264
3387,41645
7108,8924
12177,46325
5459,5544
24817,3820
7169,27428
6501,47842
14883,29101
20121,42005
5708,24787
3837,25540
17174,7112
10255,10415
20421,36217
18402,28165
16715,30642
2741,5313
60,16754
6202,16699
23524,24159
16268,11235
23172,16566
11647,39795
7762,32094
21710,32033
18899,30474
22434,3278
19232,35014
14514,45137
11289,28716
23109,5617
126,34933
21382,7017
20305,33596
6065,22639
16200,3287
18764,41691
8815,13712
215,22170
8017,17696
21797,3828
23014,14487
13316,33174
21972,5571
8205,7508
16198,8473
17444,24015
20373,15817
817,36343
18517,45739
15167,39011
6464,4532
20535,46109
17668,11041
11163,21002
24186,10162
3161,35753
23084,28710
70,1971
20273,24182
17764,46837
23758,26773
13357,48685
11748,9522
15205,31116
24689,22058
19215,6734
8818,8664
568,28065
7718,45345
20804,48159
11553,20335
6697,6255
19758,18870
19009,753
5507,23796
21685,26425
255,45933
4021,39043
17105,29489
14247,46683
24486,42300
8832,48272
21537,30259
9285,37632
14243,28975
17045,13247
20406,44920
22137,22342
22296,22039
23758,38517
21072,39040
3453,19740
15545,12291
16156,26459
4906,2635
577,16711
13365,42509
20237,18846
24507,39120
11360,18017
19189,4366
12656,18210
15597,18704
18701,7514
16852,6183
19879,1101
23172,30504
5092,3001
19623,26799
19222,7889
17682,19905
13609,5659
5966,35017
14030,15916
8733,20914
6501,40708
17344,16394
18591,8711
4130,7685
13167,7802
14805,21582
9722,23467
21164,22554
1564,1252
20788,30405
11168,35964
18756,46584
8337,8180
16649,23292
2615,3812
24940,25812
18810,14235
22110,45723
6745,46696
16640,1375
724,16514
7029,451
19781,20273
4989,36775
24217,23233
23472,49127
15924,2073
23922,38295
7316,21666
15441,25178
20567,2810
