id,user,post
1,19046,6759
2,14924,2451
3,4377,32882
4,11278,15136
5,6802,37365
6,3881,7560
7,14806,36779
8,5268,21485
9,16894,39494
10,1623,4310
11,12477,14896
12,14625,6566
13,3756,18251
14,14389,34240
15,1841,11660
16,11946,10187
17,21129,5714
18,21379,11796
19,17321,30456
20,2478,23157
21,8805,26649
22,20364,10176
23,5387,6226
24,12680,34586
25,13007,31855
26,14152,26973
27,13052,12341
28,19152,9572
29,17942,3559
30,14137,20505
31,9047,2929
32,2608,22210
33,12052,6932
34,23265,7995
35,21041,38660
36,17308,11082
37,3118,20425
38,6872,34464
39,15371,4097
40,18910,14588
41,4342,35527
42,5101,30305
43,18486,16857
44,14791,29485
45,13723,8206
46,22862,35367
47,11460,3562
48,9582,10122
49,15924,20782
50,21719,27287
51,2481,19923
52,20447,23905
53,13425,15448
54,22596,6280
55,11995,21157
56,4870,30227
57,12170,22756
58,21834,39394
59,18098,8237
60,13041,24903
61,19396,12399
62,689,37315
63,7364,38918
64,11084,33796
65,22163,5704
66,12927,9167
67,16941,14705
68,4515,31946
69,23263,15489
70,5262,539
71,17242,32550
72,4086,5358
73,24211,22448
74,17082,13912
75,1545,14015
76,4990,28441
77,11101,33185
78,5139,28030
79,10858,25974
80,4016,27961
81,3950,14445
82,21595,3690
83,17847,19940
84,9319,27590
85,3876,11796
86,12996,30324
87,282,1835
88,1482,21310
89,19646,10389
90,14854,7087
91,22727,896
92,24284,16261
93,5698,27720
94,2831,15920
95,20937,13313
96,4055,7737
97,19543,28579
98,11572,245
99,19041,3478
100,19781,18863
101,4964,9309
102,20244,2949
103,906,35438
104,3819,7448
105,22004,27095
106,11239,3027
107,18889,22075
108,24147,5959
109,19240,34773
110,11610,31025
111,17798,29236
112,7618,22208
113,13017,30074
114,17551,8770
115,22039,24072
116,18885,5736
117,13359,16481
118,20124,17278
119,16182,36412
120,22517,39721
121,2664,34770
122,23187,13900
123,14975,36044
124,23544,35515
125,20868,6989
126,12089,31864
127,3841,32938
128,11968,8865
129,7748,1132
130,16035,38123
131,10656,38920
132,1745,34710
133,13674,38835
134,13076,5046
135,20456,24801
136,10507,18230
137,21080,14754
138,20623,13773
139,4258,3145
140,20963,22874
141,4860,17537
142,9375,29752
143,7478,22106
144,20370,36918
145,6334,25073
146,16615,16887
147,19767,322
148,17784,17741
149,1178,36158
150,4116,34127
151,2594,8054
152,2553,23549
153,13604,13815
154,1697,6635
155,11661,3239
156,8600,2260
157,10350,7268
158,17441,2953
159,3798,35457
160,15907,2785
161,17269,11845
162,3469,12807
163,1332,17437
164,11409,15277
165,14377,24407
166,10154,4899
167,13799,20544
168,6189,1069
169,16224,29585
170,24438,18371
171,17074,39931
172,20234,6547
173,5534,13015
174,10499,36751
175,22640,7178
176,12631,38161
177,2373,11409
178,3271,37157
179,6447,38398
180,24728,37519
181,6008,5651
182,15212,35675
183,9791,3255
184,17195,1878
185,16339,33448
186,14212,27037
187,13665,12567
188,16728,7407
189,5757,3038
190,17689,20984
191,19717,35871
192,2368,17640
193,1172,37745
194,16629,7837
195,14093,28605
196,21649,7401
197,9845,2302
198,18191,13628
199,7825,11149
200,16756,25948
201,21515,19268
202,16596,14466
203,22319,3683
204,16982,26741
205,24736,34910
206,12796,28672
207,11584,10114
208,14061,30054
209,9562,21884
210,2288,33460
211,9402,26973
212,17863,16375
213,7184,20953
214,6902,25711
215,18402,25674
216,24347,5145
217,5540,5603
218,3782,14190
219,15989,22679
220,17806,19839
221,3369,7270
222,19460,2267
223,21635,24471
224,2286,20024
225,3020,21719
226,4349,29420
227,16323,9305
228,14996,1740
229,15291,8064
230,16548,18087
231,12702,28388
