cliente_id,artista_id
3684,12619
1592,17795
7257,13163
20211,405
17046,6587
22834,11910
21973,17586
13740,24825
1249,6398
15370,19714
8680,13328
21477,19264
4445,22225
2183,1335
24031,21812
6114,23690
22647,22890
10437,13255
10227,16386
19589,6478
11262,2146
9960,2368
22654,12632
21807,19927
24942,13779
411,17108
16327,2954
16708,10211
1562,8654
11834,23062
9410,4507
24541,17721
21299,19521
6394,19477
2574,12889
20240,22780
10823,337
10542,1613
13736,23884
5871,5503
4732,11498
2366,9504
15265,6589
22384,14520
17011,850
14278,5595
20830,5996
20660,12619
7185,14082
22130,1273
20873,16549
24374,58
22067,9862
11905,18447
14401,17909
1205,20250
13849,11286
21044,200
9567,8792
15422,13292
16650,23236
7920,12061
7473,9155
16311,13127
16758,19969
20761,4561
11108,6576
2974,11677
9962,7189
19961,11622
16123,13969
15749,7877
8442,109
4231,13235
19241,24165
797,19592
6631,2071
14628,11643
5390,5634
4267,15232
17007,1737
20827,14876
4780,325
22924,23248
16252,5883
23101,14237
4176,19827
8293,21981
18418,18202
19631,22054
24844,24712
5566,6940
24885,24038
3185,23467
24915,17865
12248,12394
5652,8596
24766,13513
16572,24109
12618,13937
2947,16626
19220,23813
2881,5995
7312,13950
5571,1309
11638,12224
1282,1059
23768,6469
7751,18396
12573,3886
11182,4152
7950,8378
9353,10112
14058,992
23729,5966
11111,17274
17818,17032
5504,6155
15653,21437
2804,4594
22287,6267
3358,23511
22439,17456
10473,10062
23257,19455
13623,5071
7850,1048
7361,24627
16155,19163
17093,23935
19563,23269
743,13080
13386,17079
24444,19186
233,17718
2041,12615
19594,3574
2125,20195
1707,20812
12828,9357
13890,6963
13740,6622
177,284
16438,6093
17036,23936
23248,3291
9805,5832
2409,1176
14538,20036
19907,10030
856,9040
2523,21980
9815,11016
1121,10226
10919,2180
14201,2655
21977,17890
14741,5282
15848,305
111,16332
23381,16403
8841,307
6127,12961
13719,13772
22426,4619
13188,16516
18382,2284
13432,7193
22844,2598
2415,13306
20863,9293
3331,3190
17952,2075
22977,17234
573,2618
9885,17411
13729,22925
24948,15439
21579,24714
20998,11879
10552,7444
22635,16924
305,23772
2923,13776
8095,7071
4949,23771
4193,20674
23963,36
16433,6046
9138,1594
22847,16241
18504,2494
3766,18706
3057,20449
11670,3445
22050,16005
15211,1091
19230,24657
6081,15783
22373,9197
6850,312
3463,18632
24575,19550
14984,2802
17870,10979
18061,16370
11052,20211
7144,22484
3264,23443
13265,23770
14298,9881
10791,3894
2611,3407
3362,4950
21508,2528
23334,13230
24973,22318
22276,8902
16696,19392
17535,13223
19339,14766
16450,16869
9720,8455
11733,7452
11298,13004
24135,8743
1534,11137
8819,17530
23481,7656
4943,15128
4655,5939
23012,20073
5616,7553
4294,9248
3528,2256
13000,7187
17085,16479
2616,12584
19406,11898
7228,24401
14121,339
6497,15045
7122,252
2032,19510
1038,21961
15648,15240
10925,5099
23727,17202
21727,7395
18601,12912
2053,22322
4076,7810
8737,2690
6751,16281
10750,24967
6665,9895
15591,7532
1999,191
24052,21567
11395,12443
9377,1782
7576,14450
10418,19977
6190,22163
23125,16587
2133,10796
19057,7452
21897,4505
15434,15540
5842,6678
199,20596
22934,2163
14631,12711
17802,413
16813,19880
23585,23823
19379,2276
16922,4268
18343,6910
12785,23321
925,6784
12420,16751
13415,5821
14276,20407
15368,2231
4719,7008
18730,5493
6945,18531
18533,8092
19139,15066
16356,14569
5997,15875
1602,12177
2788,15769
21212,3613
13414,6936
1189,20575
814,961
3918,21913
5384,21806
6698,9706
