id,post,user
1,36702,23479
2,734,542
3,38826,23367
4,8945,18813
5,19217,4845
6,38822,18330
7,15679,19054
8,24106,23474
9,23228,23379
10,21472,21799
11,5777,1040
12,12828,9758
13,13604,23716
14,37751,17656
15,34631,13858
16,19599,17452
17,29150,13857
18,25082,2604
19,23626,2470
20,14766,8870
21,15810,8944
22,1887,14422
23,11441,22203
24,20042,22924
25,21256,5868
26,1035,16207
27,20383,8194
28,19103,8485
29,29996,10100
30,5358,14134
31,31306,14821
32,18582,17698
33,37470,11902
34,17951,18146
35,29780,19554
36,18839,7222
37,4293,4048
38,12725,7639
39,36919,13559
40,38134,6895
41,2667,9578
42,20322,20909
43,5057,19773
44,7312,20520
45,22171,9831
46,20140,8452
47,35724,22989
48,3225,21808
49,12689,12631
50,11854,5737
51,20747,10967
52,17486,4261
53,15133,17254
54,2804,208
55,16042,20291
56,11660,8324
57,22034,23772
58,24741,6101
59,13917,621
60,20034,14931
61,10418,7572
62,27135,2702
63,31921,21497
64,20669,7127
65,3395,20310
66,1564,8050
67,18629,24874
68,10463,22388
69,17751,9401
70,16333,17767
71,35901,19562
72,35916,8367
73,25638,24466
74,8278,16004
75,35128,3429
76,16339,5276
77,497,8905
78,20198,24517
79,19906,6503
80,36457,17894
81,37064,3814
82,10729,20576
83,30615,12831
84,6891,2368
85,7463,12302
86,36715,5393
87,36792,13145
88,3884,11409
89,1383,10279
90,33420,16369
91,28113,10275
92,30081,7514
93,34228,18521
94,31521,16966
95,13191,17664
96,17461,6072
97,29387,9181
98,15635,23496
99,36598,239
100,16873,5505
101,1161,18121
102,36747,971
103,6949,6803
104,6256,16563
105,38349,22729
106,38110,6411
107,20474,9546
108,37266,5718
109,27688,8577
110,37816,17942
111,6426,6131
112,10154,6108
113,9569,3927
114,10155,9273
115,6960,11731
116,36683,3082
117,29443,8224
118,9236,7146
119,22486,4392
120,6868,5535
121,9676,23536
122,10374,10367
123,30199,20332
124,7302,5660
125,3091,14888
126,35432,12152
127,30542,4427
128,9823,24930
129,20402,22153
130,167,3616
131,20641,19428
132,39217,18649
133,5130,10829
134,25912,11219
135,20869,3191
136,3412,14429
137,23162,15345
138,8360,8131
139,19717,10785
140,422,20138
141,25642,11626
142,3465,284
143,28109,22738
144,24556,9946
145,4826,22383
146,12842,8732
147,5398,2861
148,23160,7482
149,36242,13756
150,16506,16967
151,8635,18028
152,9602,16176
153,29242,9419
154,16719,18592
155,11334,24203
156,26311,23746
157,33649,10261
158,23173,16487
159,2210,1493
160,32945,6962
161,31390,15541
162,34755,12225
163,32873,20559
164,5273,11918
165,15512,10428
166,10279,24474
167,6745,14906
168,30892,3087
169,19944,1778
170,7545,6989
171,12060,7663
172,27122,18167
173,2253,24148
174,5709,1900
175,16477,10418
176,17177,13304
177,28854,3372
178,12186,21735
179,14922,18361
180,29952,1930
181,13975,14495
182,26731,17270
183,15196,1335
184,4643,15998
185,16043,8456
186,14447,12104
187,32685,7316
188,32782,3513
189,22930,21040
190,17733,10330
191,28220,18359
192,990,11659
193,6490,4728
194,10072,17713
195,29761,13673
196,29197,23471
197,32641,8751
198,18685,876
199,430,12775
200,34189,10724
201,29796,13703
202,19786,629
203,16543,3523
204,12164,23226
205,22324,2312
206,34256,13758
207,1610,12597
208,31032,20432
209,466,18542
210,32583,9655
211,11624,19342
212,21162,12541
213,28369,11099
214,23625,24943
215,4990,20123
216,3198,6943
217,14768,20968
218,12623,7332
219,10648,6953
220,7233,10096
221,1,17920
222,17655,13470
223,13507,20871
224,31746,22996
225,26528,6404
226,12466,9772
227,36684,19802
228,8107,6675
229,36034,23135
230,23549,12907
231,3236,5940
232,28358,23687
233,26419,20833
234,1606,6728
235,28419,4353
236,39860,18067
237,36130,4451
238,25243,6263
239,39211,22528
240,21426,5031
241,33264,22890
242,30770,15336
243,9,9056
244,7557,23184
245,25577,21592
246,25041,22512
247,19056,8112
248,35435,3494
249,34823,4
250,13369,366
251,11197,18855
252,37960,15318
253,30336,11817
254,26976,754
255,34934,22163
256,24590,14842
257,104,15376
258,15736,12136
259,13160,4279
260,6839,2447
261,37776,16579
262,13085,19100
263,25050,13682
264,29798,4797
265,34939,6323
266,21755,2401
267,14257,10889
268,13642,958
269,29195,17760
270,7301,17918
271,9072,7371
272,9325,9320
273,16954,24904
274,4886,17023
275,14366,8093
276,34793,3050
277,893,10727
278,10286,15633
279,8316,11168
280,26424,20801
281,25444,24664
282,4719,17392
283,38686,7245
284,11144,2692
285,26658,22642
286,16689,17743
287,35640,4518
288,9319,2069
289,38274,12920
290,29378,20919
291,12017,18873
292,26314,10967
293,21860,20321
294,29084,24746
295,5150,22874
296,12427,23025
297,27574,11138
298,35040,5320
299,4972,6757
300,8693,24946
301,32461,24086
302,7354,335
303,7493,5528
304,6283,13043
305,1553,10587
306,15470,14359
307,11513,6310
308,7225,7346
309,36341,12869
310,6808,24599
311,11672,23391
312,36867,12749
313,10805,1970
314,37147,2863
315,33861,10200
316,35437,20574
317,5949,22807
318,12506,20579
319,13965,11101
320,16820,17437
321,13298,7327
322,30236,19295
323,18587,6551
324,29463,23601
325,28137,5520
326,20758,2013
327,33647,2159
328,9578,6346
329,39443,20058
330,12541,11833
331,23413,19285
332,23970,23496
333,20269,253
334,31485,12161
335,2839,16937
336,20779,20399
337,18396,20310
338,6997,18223
339,22397,15898
340,32651,8633
341,33688,8094
342,5264,108
343,1420,15479
344,38524,20085
345,37195,21588
346,30512,17152
347,7597,16083
348,13838,9129
349,7209,2977
350,7087,24783
351,36442,8841
352,21634,20389
353,23434,16931
354,18358,11287
355,29293,23550
356,21779,5025
357,21250,13564
358,17112,15669
359,8498,6790
360,6328,19285
361,26568,23130
362,38076,23920
363,38291,13499
364,5850,3506
365,19815,21783
366,1636,7364
367,4179,24291
368,39047,24823
369,33442,10274
370,19986,13367
371,12635,3486
372,21282,24968
373,38879,17991
374,23427,8399
375,25819,24888
376,19186,10259
377,11995,20512
378,8568,4370
379,4246,15569
380,20688,15074
381,35073,5544
382,1721,14339
383,11470,2909
384,29190,12066
385,10563,16657
386,29010,14960
387,38447,4141
388,19572,23426
389,33321,8774
390,2188,7149
391,19966,2652
392,17067,5978
393,35995,11938
394,36370,9431
395,34212,8846
396,32501,9080
397,12687,826
398,17261,14940
399,4844,11960
400,18090,4407
401,3717,2778
402,5895,9465
403,14891,12185
404,22966,2977
405,4179,3948
406,10836,21306
407,32223,11410
408,30468,22457
409,34858,13437
410,14761,18072
411,13365,6630
412,26876,22376
413,19419,7469
414,30925,712
415,1541,10046
416,32096,18175
417,34632,4809
418,32315,12770
419,37841,14159
420,18936,244
421,35575,20456
422,16250,20612
423,27955,1312
424,14079,11598
425,20029,23489
426,21802,9194
427,38047,9047
428,20371,1483
429,24741,2799
430,5091,16168
431,29813,4254
432,6409,6882
433,26097,14758
434,3298,12128
435,37665,21624
436,14701,22745
437,39648,9670
438,20545,1683
439,1767,2452
440,36373,14383
441,37475,1605
442,30168,14395
443,26250,18000
444,21539,5364
445,25614,12167
446,32732,23829
447,37214,18488
448,13240,2703
449,19466,16461
450,18202,13054
451,30119,16268
452,20429,163
453,30583,23531
454,20181,22873
455,6852,16087
456,39063,8790
457,28859,3976
458,30608,5572
459,11066,4682
460,6850,21426
461,35149,15389
462,39742,22610
463,30644,7467
464,39327,8537
465,32904,19150
466,12784,17379
467,3280,449
468,16911,6278
469,4109,8571
470,38184,16808
471,10706,16342
472,17956,7864
473,23212,24689
474,20614,2560
475,5800,12794
476,18857,1439
477,35595,138
478,30798,21231
479,13913,16462
480,34163,4195
481,37714,5739
482,30826,14226
483,7671,11817
484,10228,132
485,9625,22749
486,3223,15442
487,31997,22988
488,3224,7453
489,38435,15241
490,166,18802
491,13738,17078
492,35210,6552
493,36068,5370
494,24643,1505
495,23502,22347
496,2178,5308
497,25362,8342
498,35013,14653
499,24183,17226
500,4552,6904
501,38832,20603
502,31632,20233
503,25180,7323
504,21523,19004
505,19784,24972
506,5449,3042
507,22528,3209
508,30413,1881
509,284,19346
510,25998,6641
511,14407,6178
512,25575,22276
513,22243,1068
514,34578,2079
515,20514,21993
516,24298,18639
517,6319,23556
518,3703,11908
519,6837,3482
520,5553,17146
521,24871,22067
522,7570,1710
523,12594,24185
524,9801,15979
525,13967,6541
526,24689,24243
527,29595,23848
528,33632,2493
529,1596,10536
530,9520,1132
531,930,19699
532,23283,11494
533,35516,20047
534,28239,7853
535,28303,24010
536,21207,392
537,997,14847
538,24702,19668
539,8949,15551
540,30867,11177
541,5541,18080
542,28812,7053
543,36827,22966
544,25853,24267
545,27577,23373
546,29997,15758
547,37811,3667
548,18544,2418
549,25223,8508
550,32399,15936
551,24699,6977
552,32519,10262
553,11296,5975
554,7504,8061
555,23004,11549
556,34718,23764
557,33832,23943
558,23466,9961
559,28726,23088
560,15241,11673
561,17486,13683
562,10804,2397
563,1296,22264
564,11086,22160
565,10352,416
566,27269,20237
567,29893,4097
568,13542,18422
569,2451,24867
