id,titulo,genero,artista_id
1,Professional act which,Rock,15365
2,Discuss assume exactly,Rock,13368
3,Clear mission age,Rock,8259
4,Media speech several approach,Jazz,9425
5,Writer newspaper,Electronic,2085
6,Month effect,Jazz,11401
7,Skin business song,Hip-Hop,486
8,Meeting heavy interesting,Hip-Hop,18686
9,Gun decide,Hip-Hop,19448
10,Action project likely,Jazz,17737
11,Through authority dream,Hip-Hop,8043
12,Check practice sell approach,Electronic,2817
13,Foot debate,Electronic,5344
14,Station senior grow,Rock,9712
15,Often,Pop,17955
16,Each,Rock,12410
17,Machine program,Rock,15577
18,Hour later,Electronic,17796
19,Him worry,Electronic,1036
20,Whether list,Jazz,14252
21,Education relationship,Hip-Hop,4727
22,Paper attorney wrong,Pop,12026
23,Thousand never,Jazz,8768
24,Often to fine,Jazz,14148
25,You possible manager,Electronic,6421
26,Begin suddenly language,Electronic,1516
27,First agree wear,Hip-Hop,19235
28,Manager effect likely,Pop,4268
29,Realize alone mother small,Rock,12182
30,Section cost,Hip-Hop,14155
31,Tough suggest,Hip-Hop,10113
32,Course network,Rock,4858
33,Responsibility go,Hip-Hop,8503
34,Buy maintain,Jazz,2572
35,Involve woman most,Hip-Hop,17289
36,Really minute even,Jazz,6511
37,Cover local region,Rock,248
38,Work many could,Electronic,13085
39,Special religious tonight,Hip-Hop,1512
40,Tree stand,Jazz,951
41,Success man,Jazz,12888
42,Above white to religious,Jazz,15602
43,Instead week,Jazz,7046
44,Six language,Pop,13149
45,Western,Rock,18821
46,Field loss,Pop,5355
47,Necessary wear,Hip-Hop,1462
48,Material which say attack,Rock,3015
49,Less indicate perhaps,Pop,2182
50,Model conference,Electronic,10669
51,Challenge although,Hip-Hop,6230
52,Fill,Pop,17896
53,Themselves activity,Rock,9440
54,East kid,Jazz,9413
55,Often remain,Pop,3432
56,Gun word city,Hip-Hop,10914
57,Analysis Mrs,Rock,4295
58,Nothing image top,Hip-Hop,17815
59,Report notice single car,Hip-Hop,11353
60,Picture,Jazz,17575
61,Support bit green,Rock,16457
62,Property world,Electronic,9614
63,Protect national ball character,Jazz,7323
64,Fast oil paper,Pop,12563
65,Should material word,Jazz,1457
66,Outside different,Hip-Hop,15941
67,Top claim,Electronic,7211
68,Nothing down,Hip-Hop,17433
69,Of,Jazz,17360
70,Then run man,Hip-Hop,14401
71,During be,Jazz,4867
72,Fund any shoulder,Pop,1770
73,Thing price level,Hip-Hop,13491
74,Exist employee quality minute,Hip-Hop,3679
75,Fear then television,Rock,13891
76,Future,Jazz,16968
77,My vote,Jazz,15092
78,Rest detail scene,Hip-Hop,17416
79,Open director find,Rock,3782
80,Campaign young increase,Hip-Hop,4107
81,Across early,Rock,7201
82,Offer turn,Rock,760
83,Agree may,Hip-Hop,2784
84,Newspaper kind weight,Hip-Hop,17384
85,Respond huge,Electronic,17465
86,Member sense,Hip-Hop,64
87,Age ten technology,Rock,1047
88,Move hand most soldier,Hip-Hop,4431
89,Cup,Jazz,18822
90,Soldier tend,Jazz,16562
91,Bed also resource,Hip-Hop,14542
92,Nor test win whose,Rock,2602
93,Executive center include,Jazz,10434
94,Campaign produce affect,Electronic,19722
95,Each week matter,Pop,4343
96,Couple huge,Jazz,10192
97,Letter raise,Jazz,19230
98,Network identify,Hip-Hop,11017
99,Decade similar,Hip-Hop,6200
100,Tell partner impact,Rock,12197
101,Body others more,Electronic,5883
102,Deal yes century,Electronic,17833
103,Nice or usually,Rock,3595
104,Animal share despite,Pop,7933
105,Deep well,Hip-Hop,5442
106,Avoid,Electronic,2622
107,From around,Pop,2325
108,Bit glass,Pop,5167
109,Involve happen,Rock,8622
110,Chair true,Pop,4826
111,Management kitchen,Rock,12271
112,Always range someone,Electronic,10148
113,Role life,Electronic,297
114,Keep,Hip-Hop,379
115,Fine share anyone,Pop,15204
116,Huge east,Electronic,12079
117,Voice likely ball,Electronic,15185
118,Bar authority guess back,Pop,6414
119,Leader,Hip-Hop,5618
120,Start war,Hip-Hop,3790
121,Responsibility past,Electronic,11401
122,Kitchen miss throw,Pop,18506
123,Kid talk,Jazz,1494
124,Deal audience off,Pop,11342
125,Available well federal according,Electronic,9605
126,Choose movement could,Jazz,12093
127,Not end hit,Jazz,1765
128,Through season,Pop,5133
129,Within student,Hip-Hop,14787
130,Read around visit,Hip-Hop,204
131,Drive right,Pop,2218
132,Thought us,Electronic,7619
133,Must pull early,Pop,12999
134,Book head authority,Pop,2863
135,Play smile,Pop,17199
136,Three some evidence,Jazz,2772
137,Subject little follow,Hip-Hop,18028
138,Song continue wonder,Jazz,1755
139,Door create,Hip-Hop,18497
140,Beat upon blue,Electronic,18720
141,Term several use,Rock,2588
142,To common understand,Jazz,14434
143,Artist agency glass industry,Rock,8321
144,Imagine next,Pop,8572
145,Name design far,Hip-Hop,11647
146,Beautiful network,Jazz,2923
147,Study address,Pop,3100
148,Whose dark their,Jazz,19449
149,The evidence network,Hip-Hop,5171
150,Treat wonder her,Rock,10976
151,Toward,Hip-Hop,13716
152,Size fund along,Jazz,18457
153,Everyone network,Jazz,58
154,Important time,Pop,7672
155,Thank as,Pop,11516
156,In everything,Hip-Hop,5965
157,Yes condition,Hip-Hop,17514
158,Foreign song,Pop,15596
159,According against,Rock,17951
160,Information move,Pop,11492
161,Behind about commercial,Jazz,4061
162,Grow alone section,Jazz,18945
163,Minute over,Jazz,915
164,Finish kitchen magazine,Hip-Hop,14754
165,Plant someone,Hip-Hop,7388
166,Car seem society,Electronic,1954
167,Carry represent,Hip-Hop,2969
168,Task responsibility,Electronic,9254
169,Discuss local spring area,Electronic,13503
170,Clearly out difficult,Electronic,14913
171,Theory color everyone,Jazz,12511
172,Peace stage or,Jazz,15203
173,Identify change hair,Jazz,2822
174,Attention marriage,Pop,5794
175,Develop might since,Hip-Hop,13847
176,Travel until positive,Rock,7503
177,Base total school,Rock,11793
178,Drug,Pop,16019
179,Door car,Rock,19499
180,Small firm heart,Jazz,19924
181,Government television,Electronic,12032
182,Just image,Hip-Hop,12571
183,Wind for after lead,Rock,3375
184,Onto bring successful,Hip-Hop,1364
185,Energy family quite ok,Jazz,11141
186,Center role grow,Jazz,14104
187,Pretty mean family computer,Rock,9518
